label,hex,type,colour
aversion,#D72000,valence,red
aversive,#D72000,valence,red
attraction,#8FDA04,valence,green
app,#8FDA04,valence,green
aver,#D72000,valence,red
appetitive,#8FDA05,valence,green
LHON,#54BCD1,neuron,cyan
LHN,#8FDA04,neuron,green
LHLN,#8FDA04,neuron,green
local_neuron,#5CA700,neuron,green
axon2,#F4B95A,compartment,paleorange
axon,#EF7C12,compartment,darkorange
dendrite,#54BCD1,compartment,cyan
primary_neurite,#C70E7B,compartment,purple
primary_dendrite,#8FDA04,compartment,#8FDA04
soma,#C70E7B,compartment,purple
KC,#EFC7E6,neuron,pink
DAN,#EF7C12,neuron,orange
LHCENT,#FF1493,class,fuschia
centrifugal,#FF1493,neuron,fuschia
PNs,#d55e3a,neuron,sienna3
uPN,#FC5A50,neuron,coral
biPN,#1BB6AF,neuron,marine
mPN,#AF6125,neuron,brown
ACh_uPN,#EE4244,neuron,cerise
ACh_mPN,#AF6125,neuron,brown
GABA_uPN,#ADD8E6,neuron,lightblue
GABA_mPN,#007BC3,neuron,blue
DN,#AF6125,neuron,brown
ORN,#F0E442,neuron,yellow
ipsilateral ORN,#EBBF06,neuron,paleorange
contralateral ORN,#F8F097,neuron,mediumorange
ACh,#EE4244,transmitter,cerise
Serotonin,#EF7C12,transmitter,orange
Octopamine,#C70E7B,transmitter,purple
mALT,#D72000,tract,red
mlALT,#1BB6AF,tract,marine
lALT,#31D64D,tract,palegreen
tALT,#F4B95A,tract,paleorange
pre,#D72000,synapse,red
post,#132157,synapse,navy
other,#4D4D4D,misc,lightgrey
UNKNOWN,#B3B3B3,misc,darkgrey
none,#B3B3B3,misc,darkgrey
unknown,#B3B3B3,misc,darkgrey
unclear,#B3B3B3,misc,darkgrey
chosen,#000000,misc,black
CA,#FC6882,brain_region,pink
MB,#800080,brain_region,purple
LH,#8FDA04,brain_region,green
SEZ,#009F3F,brain_region,darkgreen
AMMC,#8b0000,brain_region,darkred
AL,#F4B95A,brain_region,midorange
WED,#132157,brain_region,navy
LH_MB,#B25D91,brain_region,mauve
olfaction,#FBBB48,modality,darkyellow
vision,#1BB6AF,modality,marine
gustation,#009F3F,modality,darkgreen
thermosensation,#000000,modality,black
mechanosensation,#132157,modality,navy
heating,#D72000,valence,red
cooling,#1BB6AF,valence,marine
dry,#F4E3C7,valence,palebrown
humid,#31D64D,valence,palegreen
alcoholic_fermentation,#013220,odour_scene,verydarkgreen
food,#8FDA06,odour_scene,green
egg_laying,#F4B95A,odour_scene,paleorange
pheromones,#EFC7E6,odour_scene,pink
yeasty,#8FDA06,odour_scene,green
fruity,#31D64D,odour_scene,palegreen
decaying_fruit,#009F3F,odour_scene,darkgreen
dangerous,#D72000,odour_scene,red
plant_matter,#AF6125,odour_scene,brown
animal_matter,#F4E3C7,odour_scene,palebrown
thermo_hygro,#000000,odour_scene,black
BL,#007BC3,lineage,blue
BA,#1BB6AF,lineage,marine
DP,#EF7C12,lineage,darkorange
DA,#F4B95A,lineage,paleorange
CM,#009F3F,lineage,darkgreen
CP,#8FDA04,lineage,green
Hemibrain,#EF7C12,dataset,darkorgange
hemibrain,#EF7C12,dataset,darkorgange
FIBSEM,#EF7C12,dataset,darkorgange
fibsem,#EF7C12,dataset,darkorgange
FAFB,#1BB6AF,dataset,marine
FAFB.lineage,#1BB6AF,dataset,marine
FAFB.hemilineage,#C70E7B,dataset,purple
FIBSEM.lineage,#EF7C12,dataset,darkorgange
FIBSEM.hemilineage,#009F3F,dataset,darkgreen
WED-PN,#132157,neuron,navy
GNG-PN,#009F3F,neuron,darkgreen
ChA,#95A3CE,transmitter,blue
Ach,#95A3CE,transmitter,blue
ach,#95A3CE,transmitter,blue
acetylcoline,#95A3CE,transmitter,blue
acetylcholine,#95A3CE,transmitter,blue
Vglut,#86A859,transmitter,green
glut,#86A859,transmitter,green
glutamate,#86A859,transmitter,green
gaba,#D5A848,transmitter,orange
GABA,#D5A848,transmitter,orange
serotonin,#8C6295,transmitter,paleorange
dopamine,#B87969,transmitter,darkyellow
octopamine,#725C98,transmitter,purple
cell.type,#4D4D4D,misc,lightgrey
output,#D72000,connection,red
input,#132157,connection,navy
TON,#D72000,neuron,red
TOON,#D72000,neuron,red
TOLN,#8b0000,neuron,darkred
mbon,#800080,neuron,purple
MBON,#800080,neuron,purple
PN,#FBBB48,neuron,darkyellow
KCa'b',#348E53,camtype,sagegreen
KCa'b'-a,#348E53,camsubtype,sagegreen
KCa'b'-m,#F0E442,camsubtype,yellow
KCa'b'-p,#005E45,camsubtype,dkgreen
KCab-p,#908827,camtype,mustard
KCab-p,#908827,camsubtype,mustard
KCab,#A53600,camtype,rust
KCab-c,#A53600,camsubtype,rust
KCab-m,#F0E442,camsubtype,yellow
KCab-s,#D55E00,camsubtype,redorange
KCg,#B32DB5,camsubtype,magenta
KCg,#B32DB5,camtype,magenta
KCg-t,#CC79A7,camsubtype,pink
KCg-s,#0072B2,camtype,steel blue
KCg-s1,#0072B2,camsubtype,steelblue
KCg-s2,#053CFF,camsubtype,royalblue
KCg-s3,#B32DB5,camsubtype,magenta
KCg-s4,#CC79A7,camsubtype,pink
KCg-d,#053CFF,camtype,royal blue
KCg-d1,#053CFF,camsubtype,royalblue
KCg-d2,#0072B2,camsubtype,steelblue
KCg-d3,#56B4E9,camsubtype,skyblue
KCg-d4,#A3CCE9,camsubtype,iceblue
strong,#000000,connection,black
medium,#4D4D4D,connection,darkgrey
weak,#B3B3B3,connection,lightgrey
ASCEND,#FBBB48,class,darkyellow
CONTRA,#FBBB48,class,darkyellow
CENT,#FF1493,class,fuschia
GNGPN,#009F3F,class,darkgreen
VISPN,#1BB6AF,dataset,marine
WEDPN,#132157,class,navy
broad,#0C60B2,spread,blue
patchy,#A1D8EB,spread,cyan
regional,#B80068,spread,pink
sparse,#E7273E,spread,red
ivPN,#C43B4C,lineage,NA
il2PN,#D28E53,lineage,NA
adPN,#EDE94A,lineage,NA
spPN,#B8D544,lineage,NA
lvPN,#96CA50,lineage,NA
VUMa2,#658E6E,lineage,NA
smPN,#B2DFEE,lineage,NA
lPN,#57BCD0,lineage,NA
vPN,#7672A5,lineage,NA
ilPN,#515791,lineage,NA
lv2PN,#202355,lineage,NA
l2PN,#B55D91,lineage,NA
imPN,#C8227B,lineage,NA
1,#F9F0D9,layer,brown
2,#F0DDBA,layer,brown
3,#F18A43,layer,brown
4,#C57C43,layer,brown
5,#9E4E1C,layer,brown
6,#73160D,layer,brown
7,#301404,layer,brown
